REALCURRENTTIME;CORE_TEMP;RODS_POS_ACTUAL;ROD_BANK_POS_0_ORDERED
258300;266.2654;75;75
258600;266.2654;75;75
258900;266.7624;75;75
259200;266.7624;75;75
259500;266.7624;75;75
259800;266.7624;75;75
260100;267.2695;75;75
260401;267.2695;75;75
260700;267.2695;75;75
261000;267.7665;75;75
261300;267.7665;75;75
261600;267.7665;75;75
261900;268.2636;75;75
262200;268.2636;75;75
262500;268.2636;75;75
262800;268.2636;75;75
263100;268.7507;75;75
263400;268.7507;75;75
263700;268.7507;75;75
264000;269.2379;75;75
264300;269.2379;75;75
264601;269.2379;75;75
264900;269.725;75;75
265200;269.725;75;75
265500;269.725;75;75
265800;269.725;75;75
266100;270.2122;75;75
266400;270.2122;75;75
266700;270.2122;75;75
267000;270.6894;75;75
267300;270.6894;75;75
267600;270.6894;75;75
267900;271.1666;75;75
268200;271.1666;75;75
268500;271.1666;75;75
268800;271.1666;75;75
269100;271.6438;75;75
269400;271.6438;75;75
269700;271.6438;75;75
270000;272.121;75;75
270300;272.121;75;75
270600;272.121;75;75
270901;272.5883;75;75
271200;272.5883;75;75
271500;272.5883;75;75
271800;272.5883;75;75
272100;273.0555;75;75
272400;273.0555;75;75
272700;273.0555;75;75
273000;273.5228;75;75
273300;273.5228;75;75
273600;273.5228;75;75
273900;273.9901;75;75
274200;273.9901;75;75
274500;273.9901;75;75
274800;273.9901;75;75
275100;274.4474;75;75
275400;274.4474;75;75
275700;274.4474;75;75
275999;274.9047;75;75
276300;274.9047;75;75
276600;274.9047;75;75
276900;275.3621;75;75
277200;275.3621;75;75
277500;275.3621;75;75
277800;275.3621;75;75
278100;275.8194;75;75
278400;275.8194;75;75
278700;275.8194;75;75
279000;276.2668;75;75
279300;276.2668;75;75
279600;276.2668;75;75
279900;276.7142;75;75
280200;276.7142;75;75
280500;276.7142;75;75
280800;276.7142;75;75
281100;277.1616;75;75
281401;277.1616;75;75
281700;277.1616;75;75
282000;277.609;75;75
282300;277.609;75;75
282600;277.609;75;75
282900;278.0464;75;75
283200;278.0464;75;75
283500;278.0464;75;75
283800;278.0464;75;75
284100;278.4839;75;75
284399;278.4839;75;75
284700;278.4839;75;75
285000;278.9214;75;75
285300;278.9214;75;75
285600;278.9214;75;75
285900;279.3614;75;75
286200;279.3588;75;75
286500;279.3588;75;75
286800;279.3588;75;75
287100;279.7963;75;75
287400;279.7963;75;75
287700;279.7963;75;75
288001;280.2238;75;75
288300;280.2238;75;75
288600;280.2238;75;75
288900;280.2238;75;75
289200;280.6513;75;75
289500;280.6513;75;75
289800;280.6513;75;75
290099;281.0788;75;75
290399;281.0788;75;75
290700;281.0788;75;75
291000;281.4964;75;75
291300;281.4964;75;75
291600;281.4964;75;75
291900;281.4964;75;75
292200;281.924;75;75
292500;281.924;75;75
292800;281.924;75;75
293100;282.3415;75;75
293400;282.3415;75;75
293700;282.3415;75;75
294000;282.7591;75;75
294300;282.7591;75;75
294600;282.7591;75;75
294900;282.7591;75;75
295200;283.1667;75;75
295500;283.1667;75;75
295800;283.1667;75;75
296100;283.5844;75;75
296400;283.5844;75;75
296700;283.5844;75;75
297000;283.992;75;75
297300;283.992;75;75
297600;283.992;75;75
297900;283.992;75;75
298200;284.3997;75;75
298500;284.3997;75;75
298800;284.3997;75;75
299100;284.8073;75;75
299400;284.8073;75;75
299700;284.8073;75;75
300000;285.205;75;75
300300;285.205;75;75
300600;285.205;75;75
300900;285.205;75;75
301200;285.6127;75;75
301500;285.6127;75;75
301800;285.6127;75;75
302100;286.0104;75;75
302400;286.0104;75;75
302700;286.0104;75;75
303000;286.4081;75;75
303300;286.4081;75;75
303600;286.4081;75;75
303900;286.4081;75;75
304200;286.7958;75;75
304500;286.7958;75;75
304800;286.7958;75;75
305100;287.1936;75;75
305400;287.1936;75;75
305700;287.1936;75;75
306000;287.5814;75;75
306300;287.5814;75;75
306600;287.5814;75;75
306900;287.5814;75;75
307200;287.9691;75;75
307500;287.9691;75;75
307800;287.9691;75;75
308100;288.3569;75;75
308400;288.3569;75;75
308700;288.3569;75;75
309000;288.7448;75;75
309300;288.7448;75;75
309599;288.7448;75;75
309900;288.7448;75;75
310200;289.1226;75;75
310500;289.1226;75;75
310800;289.1226;75;75
311100;289.5004;75;75
311400;289.5004;75;75
311700;289.5004;75;75
312000;289.8882;75;75
312300;289.8882;75;75
312600;289.8882;75;75
312900;289.8882;75;75
313200;290.2561;75;75
313500;290.2561;75;75
313800;290.2561;75;75
314100;290.6339;75;75
314400;290.6339;75;75
314700;290.6339;75;75
315000;291.0018;75;75
315300;291.0018;75;75
315600;291.0018;75;75
315900;291.0018;75;75
316200;291.3697;75;75
316501;291.3697;75;75
316800;291.3697;75;75
317100;291.7376;75;75
317400;291.7376;75;75
317700;291.7376;75;75
318000;292.1055;75;75
318300;292.1055;75;75
318600;292.1055;75;75
318900;292.1055;75;75
319200;292.4734;75;75
319500;292.4734;75;75
319800;292.4734;75;75
320100;292.8313;75;75
320400;292.8313;75;75
320700;292.8313;75;75
321000;292.8313;75;75
321300;293.1893;75;75
321600;293.1893;75;75
321900;293.1893;75;75
322200;293.5572;75;75
322500;293.5572;75;75
322801;293.5572;75;75
323100;293.9152;75;75
323400;293.9152;75;75
323700;293.9152;75;75
324000;293.9152;75;75
324300;294.2632;75;75
324600;294.2632;75;75
324900;294.2632;75;75
325200;294.6212;75;75
325500;294.6212;75;75
325800;294.6212;75;75
326100;294.9692;75;75
326400;294.9692;75;75
326700;294.9692;75;75
327000;294.9692;75;75
327300;295.3172;75;75
327600;295.3172;75;75
327900;295.3172;75;75
328200;295.6653;75;75
328499;295.6653;75;75
328800;295.6653;75;75
329100;296.0033;75;75
329400;296.0033;75;75
329700;296.0033;75;75
330001;296.0033;75;75
330300;296.3514;75;75
330600;296.3514;75;75
330900;296.3514;75;75
331200;296.6895;75;75
331500;296.6895;75;75
331800;296.6895;75;75
332101;297.0276;75;75
332400;297.0276;75;75
332700;297.0276;75;75
333000;297.0276;75;75
333300;297.3657;75;75
333600;297.3657;75;75
333900;297.3657;75;75
334200;297.7038;75;75
334500;297.7038;75;75
334800;297.7038;75;75
335100;298.0319;75;75
335401;298.0319;75;75
335700;298.0319;75;75
336000;298.0319;75;75
336300;298.3701;75;75
336600;298.3701;75;75
336900;298.3701;75;75
337200;298.6982;75;75
337499;298.6982;75;75
337800;298.6982;75;75
338100;299.0264;75;75
338400;299.0264;75;75
338700;299.0264;75;75
339000;299.0264;75;75
339300;299.3546;75;75
339600;299.3546;75;75
339901;299.3546;75;75
340200;299.6827;75;75
340500;299.6827;75;75
340800;299.6827;75;75
341100;300.0009;75;75
341400;300.0009;75;75
341700;300.0009;75;75
342000;300.0009;75;75
342299;300.3292;75;75
342600;300.3292;75;75
